exp_id,subject_id,cre_line,depth,num_seqs,num_ROIs,num_timepoints
672206735,369497,Pvalb-IRES-Cre,195,628,9,56764
512311673,233214,Cux2-CreERT2,175,628,70,56759
657650110,360897,Vip-IRES-Cre,275,628,12,56743
501729039,222431,Rorb-IRES2-Cre,275,628,227,56746
639931541,340467,Slc17a7-IRES2-Cre,275,628,182,56619
590047029,297135,Sst-IRES-Cre,375,628,7,56609
604529230,323982,Ntsr1-Cre_GN220,550,628,112,56755
669859475,370771,Ntsr1-Cre_GN220,570,628,61,56615
570278597,286360,Nr5a1-Cre,350,628,86,56764
650079244,351413,Vip-IRES-Cre,175,628,24,56615
658020691,360906,Vip-IRES-Cre,175,628,10,56621
658533763,361003,Nr5a1-Cre,350,628,171,58247
557227804,273904,Nr5a1-Cre,325,628,34,56739
592348507,306503,Sst-IRES-Cre,275,628,9,56628
562122508,276948,Emx1-IRES-Cre,275,628,248,56750
557225279,273576,Cux2-CreERT2,175,628,47,58253
585900296,300657,Vip-IRES-Cre,275,628,9,56764
582838758,296704,Emx1-IRES-Cre,375,628,250,56609
587339481,305469,Rorb-IRES2-Cre,275,628,79,58284
576411246,295995,Rorb-IRES2-Cre,275,628,10,56753
572606382,291462,Rbp4-Cre_KL100,375,628,52,56763
577665023,296702,Emx1-IRES-Cre,275,628,220,56768
699155265,382421,Cux2-CreERT2,275,628,109,56624
637998955,339839,Fezf2-CreER,400,628,99,56617
591548033,307419,Cux2-CreERT2,175,628,28,56768
653122667,355470,Slc17a7-IRES2-Cre,275,628,309,56618
598564173,315297,Rbp4-Cre_KL100,375,628,28,56626
623587006,336824,Tlx3-Cre_PL56,375,628,225,56783
603592541,323753,Nr5a1-Cre,350,628,129,56621
683253712,377629,Sst-IRES-Cre,350,628,6,56765
581026088,297507,Sst-IRES-Cre,275,628,15,56766
566096665,276949,Emx1-IRES-Cre,375,628,75,56613
582867147,300427,Sst-IRES-Cre,275,628,7,56748
584983136,300647,Sst-IRES-Cre,275,628,11,56766
682051855,372079,Slc17a7-IRES2-Cre,375,628,102,56619
609517556,326489,Vip-IRES-Cre,175,628,13,56763
611638995,328096,Rorb-IRES2-Cre,275,628,93,56629
508563988,226219,Rbp4-Cre_KL100,375,628,101,56609
560866155,271729,Nr5a1-Cre,350,628,225,56609
580095655,296891,Sst-IRES-Cre,275,628,20,56761
660064796,361002,Nr5a1-Cre,350,628,79,56777
509958730,231585,Cux2-CreERT2,275,628,256,56631
670395999,369496,Pvalb-IRES-Cre,175,628,3,56775
563710064,280643,Emx1-IRES-Cre,365,628,129,56750
658854537,360566,Cux2-CreERT2,175,628,112,56627
588655112,305469,Rorb-IRES2-Cre,275,628,146,58279
599320182,315118,Sst-IRES-Cre,375,628,9,56757
637669270,340427,Tlx3-Cre_PL56,375,628,128,56776
511573879,232623,Rorb-IRES2-Cre,275,628,108,56764
551834174,265161,Rorb-IRES2-Cre,275,628,50,56612
679702884,373869,Slc17a7-IRES2-Cre,275,628,397,56626
603978471,317098,Vip-IRES-Cre,275,628,7,56765
665722301,362287,Ntsr1-Cre_GN220,550,628,15,56613
680150733,373762,Pvalb-IRES-Cre,375,628,13,56627
541290571,250789,Scnn1a-Tg3-Cre,350,628,144,56619
541010698,261458,Emx1-IRES-Cre,375,628,221,56750
507691036,229106,Cux2-CreERT2,275,628,231,56624
603224878,323753,Nr5a1-Cre,350,628,71,56614
637154333,333422,Cux2-CreERT2,275,628,39,58294
683257169,377111,Slc17a7-IRES2-Cre,205,628,296,56630
501876401,222426,Cux2-CreERT2,175,628,181,56630
595806300,311728,Emx1-IRES-Cre,375,628,143,56625
617395455,336243,Vip-IRES-Cre,275,628,13,56762
503324629,225037,Cux2-CreERT2,175,628,167,56773
570236381,284417,Rorb-IRES2-Cre,275,628,59,56763
698260532,382423,Cux2-CreERT2,175,628,34,58252
555042467,266396,Nr5a1-Cre,300,628,66,56604
508356957,230570,Scnn1a-Tg3-Cre,350,628,208,56622
571684733,288600,Rbp4-Cre_KL100,375,628,43,56750
561472633,280639,Emx1-IRES-Cre,275,628,337,56757
576095926,296891,Sst-IRES-Cre,285,628,15,56749
510514474,231584,Cux2-CreERT2,175,628,226,56630
686909240,379348,Vip-IRES-Cre,175,628,14,56763
591430494,301124,Rbp4-Cre_KL100,375,628,9,56606
712178511,390323,Cux2-CreERT2,275,628,200,56776
501574836,222420,Cux2-CreERT2,275,628,240,56748
584544569,300427,Sst-IRES-Cre,375,628,16,56771
657080632,355537,Slc17a7-IRES2-Cre,275,628,198,56610
649938038,352889,Tlx3-Cre_PL56,375,628,172,56614
569739027,282820,Cux2-CreERT2,175,628,42,56609
672207947,369311,Slc17a7-IRES2-Cre,275,628,257,56619
673914981,369497,Pvalb-IRES-Cre,275,628,13,56762
601904502,315298,Rbp4-Cre_KL100,375,628,14,56616
617388117,336246,Vip-IRES-Cre,175,628,9,56766
559192380,271750,Rbp4-Cre_KL100,375,628,66,58276
505695962,228786,Rorb-IRES2-Cre,275,628,234,56749
605606109,323538,Rorb-IRES2-Cre,275,628,58,56776
576001843,292490,Rbp4-Cre_KL100,375,628,50,56752
524691284,243293,Cux2-CreERT2,275,628,264,56615
510093797,233442,Rbp4-Cre_KL100,375,628,68,56759
617381605,336824,Tlx3-Cre_PL56,375,628,103,56779
507990552,229107,Cux2-CreERT2,275,628,253,56628
501929610,222431,Rorb-IRES2-Cre,275,628,200,56753
573261515,296702,Emx1-IRES-Cre,275,628,327,56622
682049099,378302,Nr5a1-Cre,350,628,40,56625
605800963,323538,Rorb-IRES2-Cre,275,628,42,56766
673171528,369498,Pvalb-IRES-Cre,275,628,8,58285
652989442,350509,Vip-IRES-Cre,175,628,18,56752
662974315,365251,Slc17a7-IRES2-Cre,375,628,89,56751
583136567,301048,Emx1-IRES-Cre,175,628,49,58275
502376461,225036,Cux2-CreERT2,175,628,106,56612
567878987,277938,Nr5a1-Cre,325,628,28,56746
506773185,229470,Cux2-CreERT2,175,628,101,56746
575302108,291465,Rbp4-Cre_KL100,375,628,32,56745
685816006,378302,Nr5a1-Cre,350,628,33,56625
570008444,283284,Cux2-CreERT2,275,628,235,56743
571006300,286366,Nr5a1-Cre,350,628,250,56755
551888519,268133,Rorb-IRES2-Cre,275,628,170,56742
588483711,300664,Rbp4-Cre_KL100,375,628,38,56625
676024666,369497,Pvalb-IRES-Cre,275,628,6,56771
565216523,282817,Cux2-CreERT2,175,628,118,56746
649324898,351413,Vip-IRES-Cre,275,628,12,56616
564425777,283147,Emx1-IRES-Cre,175,628,274,56745
510390912,232623,Rorb-IRES2-Cre,275,628,87,56756
653123929,355467,Slc17a7-IRES2-Cre,275,628,287,56612
657775947,355670,Vip-IRES-Cre,175,628,8,56777
637115675,335039,Rbp4-Cre_KL100,375,628,23,56761
